news_headline,news_article,news_category,full_text,clean_text
Apple buys shut down AI security cam maker's patents: Report,"Apple has reportedly acquired patents belonging to AI security camera maker Lighthouse, which had announced it would be shutting down last year. These patents include ""Computer-vision based security system using a depth camera"" and ""Method and system for visual authentication"". The report speculates Apple may be acquiring patents to upgrade the Face ID system in its upcoming devices. ",technology,"Apple buys shut down AI security cam maker's patents: Report. Apple has reportedly acquired patents belonging to AI security camera maker Lighthouse, which had announced it would be shutting down last year. These patents include ""Computer-vision based security system using a depth camera"" and ""Method and system for visual authentication"". The report speculates Apple may be acquiring patents to upgrade the Face ID system in its upcoming devices. ",apple buy shut ai security cam maker patent report apple reportedly acquire patent belong ai security camera maker lighthouse announce would shut last year patent include computer vision base security system use depth camera method system visual authentication report speculate apple may acquire patent upgrade face would system upcoming device
"Delhi government launches app to track bus, metro services","Delhi Transport Minister Kailash Gahlot has launched a common mobility app named 'One Delhi' that provides information on public transport systems including buses and the metro. It shows bus or metro routes, nearest bus stops, fares and gives arrival information in real time. ""Our vision is to make public transport the preferred mode of transport in Delhi,"" Kailash Gahlot said.",technology,"Delhi government launches app to track bus, metro services. Delhi Transport Minister Kailash Gahlot has launched a common mobility app named 'One Delhi' that provides information on public transport systems including buses and the metro. It shows bus or metro routes, nearest bus stops, fares and gives arrival information in real time. ""Our vision is to make public transport the preferred mode of transport in Delhi,"" Kailash Gahlot said.",delhi government launch app track bus metro service delhi transport minister kailash gahlot launch common mobility app name one delhi provide information public transport system include bus metro show bus metro route near bus stop fare give arrival information real time vision make public transport preferred mode transport delhi kailash gahlot say
Huawei sues US over government ban on its equipment,"Chinese technology giant Huawei on Thursday said it has filed a lawsuit against the US for barring government agencies from using its products. ""This ban.. is unlawful.. [It] restricts Huawei from engaging in fair competition, ultimately harming US consumers,"" Huawei Rotating Chairman Guo Ping said. The US has alleged the company's equipment could be used for espionage by Chinese government.",technology,"Huawei sues US over government ban on its equipment. Chinese technology giant Huawei on Thursday said it has filed a lawsuit against the US for barring government agencies from using its products. ""This ban.. is unlawful.. [It] restricts Huawei from engaging in fair competition, ultimately harming US consumers,"" Huawei Rotating Chairman Guo Ping said. The US has alleged the company's equipment could be used for espionage by Chinese government.",huawei sue us government ban equipment chinese technology giant huawei thursday say file lawsuit us bar government agency use product ban unlawful [ ] restrict huawei engage fair competition ultimately harm us consumer huawei rotate chairman guo ping say us allege companys equipment could use espionage chinese government
"China hackers targeted MIT, others for military info: Report","Chinese hackers targeted at least 27 universities in the US, Canada, and Southeast Asia to access maritime military research, as per an iDefense report obtained by the Wall Street Journal. MIT and Washington University were reportedly among those targeted by phishing emails, that unleashed malicious payload when opened. The cyberattacks date back to at least April 2017, the report added.",technology,"China hackers targeted MIT, others for military info: Report. Chinese hackers targeted at least 27 universities in the US, Canada, and Southeast Asia to access maritime military research, as per an iDefense report obtained by the Wall Street Journal. MIT and Washington University were reportedly among those targeted by phishing emails, that unleashed malicious payload when opened. The cyberattacks date back to at least April 2017, the report added.",china hacker target mit military info report chinese hacker target least 27 university us canada southeast asia access maritime military research per idefense report obtain wall street journal mit washington university reportedly among target phish email unleash malicious payload open cyberattack date back least april 2017 report add
'Bolo' app will not send children's data to us: Google India,"Google India has said speech-based 'Bolo' app aimed at rural children, unveiled on Wednesday, will not send data back to Google. The technology giant added the app, made to improve children's English and Hindi-reading skills, is meant for just 10-15 minutes of daily use. This comes after the US fined TikTok app $5.7 million for collecting children's data.",technology,"'Bolo' app will not send children's data to us: Google India. Google India has said speech-based 'Bolo' app aimed at rural children, unveiled on Wednesday, will not send data back to Google. The technology giant added the app, made to improve children's English and Hindi-reading skills, is meant for just 10-15 minutes of daily use. This comes after the US fined TikTok app $5.7 million for collecting children's data.",bolo app not send children datum us google india google india say speech base bolo app aim rural child unveil wednesday not send datum back google technology giant add app make improve children english hindi reading skill mean 10 15 minute daily use come us fin tiktok app 5 7 million collect children datum
"Google unveils Bolo app to teach kids to read English, Hindi","Google on Wednesday unveiled speech-based 'Bolo' app aimed at rural children, to teach them how to read in English and Hindi. The app, which uses Google's speech recognition and text-to-speech technology and features an animated character 'Diya', is a free-to-use app first available in India, on Android. ""We've designed the app to work offline,"" Google said.",technology,"Google unveils Bolo app to teach kids to read English, Hindi. Google on Wednesday unveiled speech-based 'Bolo' app aimed at rural children, to teach them how to read in English and Hindi. The app, which uses Google's speech recognition and text-to-speech technology and features an animated character 'Diya', is a free-to-use app first available in India, on Android. ""We've designed the app to work offline,"" Google said.",google unveil bolo app teach kid read english hindi google wednesday unveil speech base bolo app aim rural child teach read english hindi app use google speech recognition text speech technology feature animate character diya free use app first available india android design app work offline google say
Samsung-owned Harman patents flying robotic speakers for VR,"Harman, the American subsidiary of the South Korean technology giant Samsung, has patented a flying speaker system for Virtual Reality (VR) environments. The company plans to achieve better representation of the distance, direction and movement of sounds of the VR environment and its elements using the device, the patent revealed. Samsung had acquired Harman for $8 billion in 2017. ",technology,"Samsung-owned Harman patents flying robotic speakers for VR. Harman, the American subsidiary of the South Korean technology giant Samsung, has patented a flying speaker system for Virtual Reality (VR) environments. The company plans to achieve better representation of the distance, direction and movement of sounds of the VR environment and its elements using the device, the patent revealed. Samsung had acquired Harman for $8 billion in 2017. ",samsung harman patent fly robotic speaker vr harman american subsidiary south korean technology giant samsung patent fly speaker system virtual reality vr environment company plan achieve good representation distance direction movement sound vr environment element use device patent reveal samsung acquire harman 8 billion 2017
Android TV bug exposes private user pics under screensavers,"A bug on Google's Android TV platform exposed users' private images, which could be set as screensavers by random users under Ambient Mode of Google Home app. Multiple accounts were allegedly linked to one particular account. ""We've disabled the ability to remotely cast via Google Assistant or view photos from Google Photos on Android TV devices,"" Google said.",technology,"Android TV bug exposes private user pics under screensavers. A bug on Google's Android TV platform exposed users' private images, which could be set as screensavers by random users under Ambient Mode of Google Home app. Multiple accounts were allegedly linked to one particular account. ""We've disabled the ability to remotely cast via Google Assistant or view photos from Google Photos on Android TV devices,"" Google said.",android tv bug expose private user pic screensaver bug google android tv platform expose user private image could set screensaver random user ambient mode google home app multiple account allegedly link one particular account disable ability remotely cast via google assistant view photo google photo android tv device google say
Facebook adds 'Tributes' section to memorial accounts of users,"Facebook is adding a dedicated 'Tributes' section to memorialised accounts of passed-away users to post stories, commemorate a birthday or share memories. The section, separate from 'timeline', will include posts made after the day it was memorialised. Some Facebook users who have designated 'legacy contacts' to manage their accounts after they die were alerted to the feature by a notification.",technology,"Facebook adds 'Tributes' section to memorial accounts of users. Facebook is adding a dedicated 'Tributes' section to memorialised accounts of passed-away users to post stories, commemorate a birthday or share memories. The section, separate from 'timeline', will include posts made after the day it was memorialised. Some Facebook users who have designated 'legacy contacts' to manage their accounts after they die were alerted to the feature by a notification.",facebook add tribute section memorial account user facebook add dedicated tribute section memorialised account pass away user post story commemorate birthday share memory section separate timeline include post make day memorialised facebook user designate legacy contact manage account die alert feature notification
Most Indian users unaware of how to report abuse: Twitter,"Most Indian users aren't aware of how to report abuse or harassment they face on Twitter, Global Public Policy VP Colin Crowell said. ""Users might take a screenshot of abuse or harassment [and post it online]...but they don't report that,"" he said. ""Our team can only take action if the issue is reported to us,"" he added.",technology,"Most Indian users unaware of how to report abuse: Twitter. Most Indian users aren't aware of how to report abuse or harassment they face on Twitter, Global Public Policy VP Colin Crowell said. ""Users might take a screenshot of abuse or harassment [and post it online]...but they don't report that,"" he said. ""Our team can only take action if the issue is reported to us,"" he added.",indian user unaware report abuse twitter indian user not aware report abuse harassment face twitter global public policy vp colin crowell say user may take screenshot abuse harassment [ post online ] not report say team take action issue report us add
"Google discloses security flaw in macOS kernel, Apple works on fix","Google's security disclosure program named 'Project Zero' has exposed a 'high severity' security flaw in macOS kernel, which it had first disclosed to Apple in November last year. The flaw allows modification of a user-mounted filesystem image without notifying the virtual management system. Apple is intending to resolve the issue in a future release, researchers said.",technology,"Google discloses security flaw in macOS kernel, Apple works on fix. Google's security disclosure program named 'Project Zero' has exposed a 'high severity' security flaw in macOS kernel, which it had first disclosed to Apple in November last year. The flaw allows modification of a user-mounted filesystem image without notifying the virtual management system. Apple is intending to resolve the issue in a future release, researchers said.",google disclose security flaw macos kernel apple work fix google security disclosure program name project zero expose high severity security flaw macos kernel first disclose apple november last year flaw allow modification user mount filesystem image without notify virtual management system apple intend resolve issue future release researcher say
Some apps still send user data to FB without consent: Report,"Some apps, including search service Yelp and language learning platform Duolingo, are still sending personal data without user consent to Facebook for ad tracking, as per a report. This comes after the social media platform faced criticism for paying and collecting data of teenagers in India and the US. Duolingo has reportedly agreed to suspend the practice.",technology,"Some apps still send user data to FB without consent: Report. Some apps, including search service Yelp and language learning platform Duolingo, are still sending personal data without user consent to Facebook for ad tracking, as per a report. This comes after the social media platform faced criticism for paying and collecting data of teenagers in India and the US. Duolingo has reportedly agreed to suspend the practice.",app still send user datum fb without consent report app include search service yelp language learn platform duolingo still send personal datum without user consent facebook ad tracking per report come social medium platform face criticism pay collect datum teenager india us duolingo reportedly agree suspend practice
Twitter was too aggressive in banning certain accounts: CEO ,"Twitter CEO Jack Dorsey in a recent interview said the platform admits it was ""probably too aggressive"" in banning certain accounts. The suspensions relate to hashtag ""learn to code"" that was being used as a ""co-ordinated harassment campaign"" to target certain journalists, as per Twitter. Dorsey explained that lack of context concerning the tweets may have led to the bans.",technology,"Twitter was too aggressive in banning certain accounts: CEO . Twitter CEO Jack Dorsey in a recent interview said the platform admits it was ""probably too aggressive"" in banning certain accounts. The suspensions relate to hashtag ""learn to code"" that was being used as a ""co-ordinated harassment campaign"" to target certain journalists, as per Twitter. Dorsey explained that lack of context concerning the tweets may have led to the bans.",twitter aggressive ban certain account ceo twitter ceo jack dorsey recent interview say platform admit probably aggressive ban certain account suspension relate hashtag learn code use co ordinate harassment campaign target certain journalist per twitter dorsey explain lack context concern tweet may lead ban
Facebook sees its future in private chats: Mark Zuckerberg,"Facebook CEO Mark Zuckerberg has said the future of communications will shift more to private, encrypted chats and Facebook aims to help bring this change. ""I believe a privacy-focused communications platform will become even more important than today's open platforms,"" he said. ""Working towards implementing end-to-end encryption for all private communications is the right thing to do,"" he added.",technology,"Facebook sees its future in private chats: Mark Zuckerberg. Facebook CEO Mark Zuckerberg has said the future of communications will shift more to private, encrypted chats and Facebook aims to help bring this change. ""I believe a privacy-focused communications platform will become even more important than today's open platforms,"" he said. ""Working towards implementing end-to-end encryption for all private communications is the right thing to do,"" he added.",facebook see future private chat mark zuckerberg facebook ceo mark zuckerberg say future communication shift private encrypted chat facebook aim help bring change believe privacy focus communication platform become even important today open platform say work towards implement end end encryption private communication right thing add
Alphabet's security startup Chronicle debuts 1st product,"Google-parent Alphabet's cybersecurity startup Chronicle has launched its first commercial cybersecurity product 'Backstory'. It makes Alphabet’s storage, indexing and search abilities available to other firms to trace the history of a malicious attack and detect potential threats. Chronicle plans to charge firms based on their number of employees and not the amount of information they store.",technology,"Alphabet's security startup Chronicle debuts 1st product. Google-parent Alphabet's cybersecurity startup Chronicle has launched its first commercial cybersecurity product 'Backstory'. It makes Alphabet’s storage, indexing and search abilities available to other firms to trace the history of a malicious attack and detect potential threats. Chronicle plans to charge firms based on their number of employees and not the amount of information they store.",alphabet security startup chronicle debut 1st product google parent alphabet cybersecurity startup chronicle launch first commercial cybersecurity product backstory make alphabet storage indexing search ability available firm trace history malicious attack detect potential threat chronicle plan charge firm base number employee not amount information store
"It took 110 years of Test cricket for a player to reach 10,000 runs","Cricket legend Sunil Gavaskar became the first-ever batsman to reach 10,000 runs in Test cricket on March 7, 1987, almost 110 years after the first-ever Test. Gavaskar achieved the feat during his 63-run knock in the first innings against Pakistan in Ahmedabad. As many as 13 batsmen have scored over 10,000 runs in Test cricket till now. ",sports,"It took 110 years of Test cricket for a player to reach 10,000 runs. Cricket legend Sunil Gavaskar became the first-ever batsman to reach 10,000 runs in Test cricket on March 7, 1987, almost 110 years after the first-ever Test. Gavaskar achieved the feat during his 63-run knock in the first innings against Pakistan in Ahmedabad. As many as 13 batsmen have scored over 10,000 runs in Test cricket till now. ",take 110 year test cricket player reach 10000 run cricket legend sunil gavaskar become first ever batsman reach 10000 run test cricket march 7 1987 almost 110 year first ever test gavaskar achieve feat 63run knock first innings pakistan ahmedabad many 13 batsman score 10000 run test cricket till
2-time Cricket WC winner Viv Richards also played FIFA World Cup,"Cricket legend Viv Richards is the only man to play in cricket and football World Cups. Richards, who was born on March 7, 1952, won the first two editions of the Cricket World Cup with West Indies and was part of Antigua's squad in the 1974 FIFA World Cup Qualifiers. Richards represented West Indies in 121 Tests and 187 ODIs.",sports,"2-time Cricket WC winner Viv Richards also played FIFA World Cup. Cricket legend Viv Richards is the only man to play in cricket and football World Cups. Richards, who was born on March 7, 1952, won the first two editions of the Cricket World Cup with West Indies and was part of Antigua's squad in the 1974 FIFA World Cup Qualifiers. Richards represented West Indies in 121 Tests and 187 ODIs.",2time cricket wc winner viv richard also play fifa world cup cricket legend viv richard man play cricket football world cup richard bear march 7 1952 win first two edition cricket world cup west indie part antiguas squad 1974 fifa world cup qualifier richard represent west indie 121 test 187 odi
Security watching match: Gavaskar on pitch invader chasing Dhoni ,"Reacting to pitch invader chasing MS Dhoni during the second India-Australia ODI, commentator Matthew Hayden asked Sunil Gavaskar, ""Where was the security, Sunny?"" ""They are watching the match and therefore were not able to stop these invasions. In Australia, South Africa, and England, the security guys are sitting with their back towards the game and watching the crowd,"" Gavaskar replied.",sports,"Security watching match: Gavaskar on pitch invader chasing Dhoni . Reacting to pitch invader chasing MS Dhoni during the second India-Australia ODI, commentator Matthew Hayden asked Sunil Gavaskar, ""Where was the security, Sunny?"" ""They are watching the match and therefore were not able to stop these invasions. In Australia, South Africa, and England, the security guys are sitting with their back towards the game and watching the crowd,"" Gavaskar replied.",security watch match gavaskar pitch invader chase dhoni react pitch invader chase ms dhoni second india australia odi commentator matthew hayden ask sunil gavaskar security sunny watch match therefore not able stop invasion australia south africa england security guy sit back towards game watch crowd gavaskar reply
Umpires fail to notice Glenn Maxwell violating 'fake fielding' rule,"During the second India-Australia ODI, Australian all-rounder Glenn Maxwell violated the 'fake fielding' rule in India's 42nd over. India all-rounder Ravindra Jadeja cut a Nathan Coulter-Nile delivery towards backward point, where Maxwell acted like he was throwing the ball to the wicketkeeper despite the ball having gone to the third-man. The umpires failed to notice Maxwell breaching the law. ",sports,"Umpires fail to notice Glenn Maxwell violating 'fake fielding' rule. During the second India-Australia ODI, Australian all-rounder Glenn Maxwell violated the 'fake fielding' rule in India's 42nd over. India all-rounder Ravindra Jadeja cut a Nathan Coulter-Nile delivery towards backward point, where Maxwell acted like he was throwing the ball to the wicketkeeper despite the ball having gone to the third-man. The umpires failed to notice Maxwell breaching the law. ",umpire fail notice glenn maxwell violate fake fielding rule second india australia odi australian round glenn maxwell violate fake fielding rule indias 42nd india round ravindra jadeja cut nathan coulter nile delivery towards backward point maxwell act like throw ball wicketkeeper despite ball go third man umpire fail notice maxwell breach law
Bhabhiji ruining our fitness levels: Pant on dinner at Dhoni's home,"Wicketkeeper-batsman Rishabh Pant took to Twitter to share a picture of himself with Virat Kohli, MS Dhoni and other Team India members at Dhoni's residence in Ranchi. ""Bhabhiji ruining our fitness levels...Super fun evening with fam-jam! Thank you...@msdhoni and @SaakshiSRawat for hosting us,"" he wrote. India is scheduled to face Australia in an ODI at Dhoni's hometown Ranchi on Friday.",sports,"Bhabhiji ruining our fitness levels: Pant on dinner at Dhoni's home. Wicketkeeper-batsman Rishabh Pant took to Twitter to share a picture of himself with Virat Kohli, MS Dhoni and other Team India members at Dhoni's residence in Ranchi. ""Bhabhiji ruining our fitness levels...Super fun evening with fam-jam! Thank you...@msdhoni and @SaakshiSRawat for hosting us,"" he wrote. India is scheduled to face Australia in an ODI at Dhoni's hometown Ranchi on Friday.",bhabhiji ruin fitness level pant dinner dhoni home wicketkeeper batsman rishabh pant take twitter share picture virat kohli ms dhoni team india member dhoni residence ranchi bhabhiji ruin fitness level super fun evening fam jam thank msdhoni saakshisrawat host us write india schedule face australia odi dhoni hometown ranchi friday
MS Dhoni hosts Team India for dinner at his home in Ranchi,"Former captain MS Dhoni and his wife Sakshi Dhoni hosted Team India for dinner at their residence in Ranchi on Wednesday. Team India leg-spinner Yuzvendra Chahal shared a photo from the evening and captioned it, ""Thank you for last night @msdhoni bhai and @SaakshiSRawat bhabhi."" India's support staff including Ravi Shastri and Sanjay Bangar were also seen in the picture. ",sports,"MS Dhoni hosts Team India for dinner at his home in Ranchi. Former captain MS Dhoni and his wife Sakshi Dhoni hosted Team India for dinner at their residence in Ranchi on Wednesday. Team India leg-spinner Yuzvendra Chahal shared a photo from the evening and captioned it, ""Thank you for last night @msdhoni bhai and @SaakshiSRawat bhabhi."" India's support staff including Ravi Shastri and Sanjay Bangar were also seen in the picture. ",dhoni host team india dinner home ranchi former captain ms dhoni wife sakshi dhoni host team india dinner residence ranchi wednesday team india leg spinner yuzvendra chahal share photo evening caption thank last night msdhoni bhai saakshisrawat bhabhi indias support staff include ravi shastri sanjay bangar also see picture
Your future is as bright as your faith: Shastri on 500th ODI win ,"Following India's 500th ODI victory, India head coach Ravi Shastri took to Twitter to share a picture of the team in a huddle and wrote, ""Your future is as bright as your faith."" India defeated Australia by eight runs in the second ODI at Nagpur to record their 500th ODI victory. The third India-Australia ODI will take place in Ranchi.",sports,"Your future is as bright as your faith: Shastri on 500th ODI win . Following India's 500th ODI victory, India head coach Ravi Shastri took to Twitter to share a picture of the team in a huddle and wrote, ""Your future is as bright as your faith."" India defeated Australia by eight runs in the second ODI at Nagpur to record their 500th ODI victory. The third India-Australia ODI will take place in Ranchi.",future bright faith shastri 500th odi win follow indias 500th odi victory india head coach ravi shastri take twitter share picture team huddle write future bright faith india defeat australia eight run second odi nagpur record 500th odi victory third india australia odi take place ranchi
Perfect team evening: Kohli on Dhoni hosting team at his residence ,"Team India captain Virat Kohli took to Twitter to share a selfie clicked at residence of former India captain MS Dhoni in Ranchi. ""Great night with the boys at Mahi bhai's place last night. Good food, fun chats all around and great energy. Perfect team evening,"" he added. India are scheduled to face Australia in the third ODI on Friday.",sports,"Perfect team evening: Kohli on Dhoni hosting team at his residence . Team India captain Virat Kohli took to Twitter to share a selfie clicked at residence of former India captain MS Dhoni in Ranchi. ""Great night with the boys at Mahi bhai's place last night. Good food, fun chats all around and great energy. Perfect team evening,"" he added. India are scheduled to face Australia in the third ODI on Friday.",perfect team evening kohli dhoni host team residence team india captain virat kohli take twitter share selfie click residence former india captain ms dhoni ranchi great night boy mahi bhais place last night good food fun chat around great energy perfect team evening add india schedule face australia third odi friday
