news_headline,news_article,news_category,full_text,clean_text,chunked_text
Apple buys shut down AI security cam maker's patents: Report,"Apple has reportedly acquired patents belonging to AI security camera maker Lighthouse, which had announced it would be shutting down last year. These patents include ""Computer-vision based security system using a depth camera"" and ""Method and system for visual authentication"". The report speculates Apple may be acquiring patents to upgrade the Face ID system in its upcoming devices. ",technology,"Apple buys shut down AI security cam maker's patents: Report. Apple has reportedly acquired patents belonging to AI security camera maker Lighthouse, which had announced it would be shutting down last year. These patents include ""Computer-vision based security system using a depth camera"" and ""Method and system for visual authentication"". The report speculates Apple may be acquiring patents to upgrade the Face ID system in its upcoming devices. ",apple buy shut ai security cam maker patent report apple reportedly acquire patent belong ai security camera maker lighthouse announce would shut last year patent include computer vision base security system use depth camera method system visual authentication report speculate apple may acquire patent upgrade face would system upcoming device,"(S
  (NP Apple/NNP)
  (VP buys/VBZ)
  (NP shut/JJ AI/NNP security/NN cam/NN makers/NNS patents/NNS)
  :/:
  (NP Report./NNP Apple/NNP)
  reportedly/RB
  (VP acquired/VBD)
  (NP
    patents/NNS
    belonging/VBG
    AI/NNP
    security/NN
    camera/NN
    maker/NN
    Lighthouse/NNP)
  ,/,
  (VP announced/VBD)
  (VP would/MD shutting/VBG)
  (NP last/JJ year./JJ patents/NNS)
  (VP include/VBP)
  (NP ""/JJ Computer-vision/NNP)
  (VP based/VBN)
  (NP security/NN system/NN)
  (VP using/VBG)
  (NP
    depth/JJ
    camera/NN
    ""/NN
    ""/NNP
    Method/NNP
    system/NN
    visual/JJ
    authentication/NN
    ""/NNP)
  ./.
  (NP report/NN)
  (VP speculates/VBZ)
  (NP Apple/NNP)
  (VP may/MD acquiring/VBG)
  (NP patents/NNS upgrade/JJ Face/NNP ID/NNP system/NN)
  (VP upcoming/VBG)
  (NP devices./NN))"
"Delhi government launches app to track bus, metro services","Delhi Transport Minister Kailash Gahlot has launched a common mobility app named 'One Delhi' that provides information on public transport systems including buses and the metro. It shows bus or metro routes, nearest bus stops, fares and gives arrival information in real time. ""Our vision is to make public transport the preferred mode of transport in Delhi,"" Kailash Gahlot said.",technology,"Delhi government launches app to track bus, metro services. Delhi Transport Minister Kailash Gahlot has launched a common mobility app named 'One Delhi' that provides information on public transport systems including buses and the metro. It shows bus or metro routes, nearest bus stops, fares and gives arrival information in real time. ""Our vision is to make public transport the preferred mode of transport in Delhi,"" Kailash Gahlot said.",delhi government launch app track bus metro service delhi transport minister kailash gahlot launch common mobility app name one delhi provide information public transport system include bus metro show bus metro route near bus stop fare give arrival information real time vision make public transport preferred mode transport delhi kailash gahlot say,"(S
  (NP Delhi/JJ government/NN launches/NNS)
  (VP app/VBP)
  (NP track/NN bus/NN)
  ,/,
  metro/FW
  services./FW
  (NP Delhi/NNP Transport/NNP Minister/NNP Kailash/NNP Gahlot/NNP)
  (VP launched/VBD)
  (NP common/JJ mobility/NN app/NN)
  (VP named/VBD)
  (NP One/CD Delhi/NNP)
  (VP provides/VBZ)
  (NP information/NN public/JJ transport/NN systems/NNS)
  (VP including/VBG)
  (NP buses/NNS metro./NN)
  (VP shows/VBZ)
  (NP bus/NN metro/NN routes/NNS)
  ,/,
  nearest/JJS
  (NP bus/NN stops/NNS)
  ,/,
  (NP fares/NNS)
  (VP gives/VBZ)
  (NP arrival/JJ information/NN real/JJ time./NN ""/NNP vision/NN)
  (VP make/VBP)
  (NP public/JJ transport/NN)
  (VP preferred/VBD)
  (NP mode/JJ transport/NN Delhi/NNP)
  ,/,
  (NP ""/NNP Kailash/NNP Gahlot/NNP)
  (VP said/VBD)
  ./.)"
Huawei sues US over government ban on its equipment,"Chinese technology giant Huawei on Thursday said it has filed a lawsuit against the US for barring government agencies from using its products. ""This ban.. is unlawful.. [It] restricts Huawei from engaging in fair competition, ultimately harming US consumers,"" Huawei Rotating Chairman Guo Ping said. The US has alleged the company's equipment could be used for espionage by Chinese government.",technology,"Huawei sues US over government ban on its equipment. Chinese technology giant Huawei on Thursday said it has filed a lawsuit against the US for barring government agencies from using its products. ""This ban.. is unlawful.. [It] restricts Huawei from engaging in fair competition, ultimately harming US consumers,"" Huawei Rotating Chairman Guo Ping said. The US has alleged the company's equipment could be used for espionage by Chinese government.",huawei sue us government ban equipment chinese technology giant huawei thursday say file lawsuit us bar government agency use product ban unlawful [ ] restrict huawei engage fair competition ultimately harm us consumer huawei rotate chairman guo ping say us allege companys equipment could use espionage chinese government,"(S
  (NP Huawei/NNP)
  (VP sues/VBZ)
  (NP US/NNP government/NN ban/NN)
  (PP equipment./IN)
  (NP Chinese/NNP technology/NN giant/NN Huawei/NNP Thursday/NNP)
  (VP said/VBD filed/VBN)
  (NP lawsuit/NN US/NNP)
  (VP barring/VBG)
  (NP government/NN agencies/NNS)
  (VP using/VBG)
  (NP
    products./NN
    ""/NNP
    ban/NN
    ../NNP
    unlawful/JJ
    ../NNP
    [/NNP
    ]/NNP)
  (VP restricts/VBZ)
  (NP Huawei/NNP engaging/VBG fair/JJ competition/NN)
  ,/,
  ultimately/RB
  (VP harming/VBG)
  (NP US/NNP consumers/NNS)
  ,/,
  (NP ""/NNP Huawei/NNP Rotating/NNP Chairman/NNP Guo/NNP Ping/NNP)
  (VP said./VBD)
  (NP US/NNP)
  (VP alleged/VBD)
  (NP companys/JJ equipment/NN)
  (VP could/MD used/VBN espionage/VB)
  (NP Chinese/JJ government/NN)
  ./.)"
"China hackers targeted MIT, others for military info: Report","Chinese hackers targeted at least 27 universities in the US, Canada, and Southeast Asia to access maritime military research, as per an iDefense report obtained by the Wall Street Journal. MIT and Washington University were reportedly among those targeted by phishing emails, that unleashed malicious payload when opened. The cyberattacks date back to at least April 2017, the report added.",technology,"China hackers targeted MIT, others for military info: Report. Chinese hackers targeted at least 27 universities in the US, Canada, and Southeast Asia to access maritime military research, as per an iDefense report obtained by the Wall Street Journal. MIT and Washington University were reportedly among those targeted by phishing emails, that unleashed malicious payload when opened. The cyberattacks date back to at least April 2017, the report added.",china hacker target mit military info report chinese hacker target least 27 university us canada southeast asia access maritime military research per idefense report obtain wall street journal mit washington university reportedly among target phish email unleash malicious payload open cyberattack date back least april 2017 report add,"(S
  (NP China/NNP hackers/NNS)
  (VP targeted/VBD)
  (NP MIT/NNP)
  ,/,
  (NP others/NNS military/JJ info/NN)
  :/:
  (NP Report./NNP Chinese/NNP hackers/NNS)
  (VP targeted/VBD)
  least/JJS
  (NP 27/CD universities/NNS US/NNP)
  ,/,
  (NP Canada/NNP)
  ,/,
  (NP Southeast/NNP Asia/NNP access/NN)
  maritime/RB
  (NP military/JJ research/NN)
  ,/,
  (PP per/IN)
  (NP iDefense/JJ report/NN)
  (VP obtained/VBD)
  (NP
    Wall/NNP
    Street/NNP
    Journal./NNP
    MIT/NNP
    Washington/NNP
    University/NNP)
  reportedly/RB
  (PP among/IN)
  (NP targeted/JJ phishing/NN emails/NNS)
  ,/,
  (VP unleashed/VBD)
  (NP malicious/JJ payload/NN opened./NN cyberattacks/NNS date/NN)
  back/RB
  least/JJS
  (NP April/NNP 2017/CD)
  ,/,
  (NP report/NN)
  (VP added/VBD)
  ./.)"
'Bolo' app will not send children's data to us: Google India,"Google India has said speech-based 'Bolo' app aimed at rural children, unveiled on Wednesday, will not send data back to Google. The technology giant added the app, made to improve children's English and Hindi-reading skills, is meant for just 10-15 minutes of daily use. This comes after the US fined TikTok app $5.7 million for collecting children's data.",technology,"'Bolo' app will not send children's data to us: Google India. Google India has said speech-based 'Bolo' app aimed at rural children, unveiled on Wednesday, will not send data back to Google. The technology giant added the app, made to improve children's English and Hindi-reading skills, is meant for just 10-15 minutes of daily use. This comes after the US fined TikTok app $5.7 million for collecting children's data.",bolo app not send children datum us google india google india say speech base bolo app aim rural child unveil wednesday not send datum back google technology giant add app make improve children english hindi reading skill mean 10 15 minute daily use come us fin tiktok app 5 7 million collect children datum,"(S
  (NP Bolo/NNP)
  (VP app/VBZ not/RB)
  (NP send/JJ childrens/NNS data/NNS)
  (NP us/PRP)
  :/:
  (NP Google/NNP India./NNP Google/NNP India/NNP)
  (VP said/VBD)
  (NP speech-based/JJ Bolo/NNP app/NN)
  (VP aimed/VBN)
  (NP rural/JJ children/NNS)
  ,/,
  (NP unveiled/JJ Wednesday/NNP)
  ,/,
  not/RB
  (VP send/VB)
  (NP data/NNS)
  back/RB
  (NP Google./NNP technology/NN giant/NN)
  (VP added/VBD)
  (NP app/NN)
  ,/,
  (VP made/VBN improve/VBP)
  (NP childrens/NNS English/JJ Hindi-reading/NNP skills/NNS)
  ,/,
  (VP meant/VBD)
  (NP 10-15/JJ minutes/NNS daily/JJ use./JJ)
  (VP comes/VBZ)
  (NP US/NNP)
  (VP fined/VBD)
  (NP TikTok/NNP)
  (VP app/VBD)
  (NP $/$ 5.7/CD million/CD collecting/NN childrens/NNS data/NNS)
  ./.)"
"Google unveils Bolo app to teach kids to read English, Hindi","Google on Wednesday unveiled speech-based 'Bolo' app aimed at rural children, to teach them how to read in English and Hindi. The app, which uses Google's speech recognition and text-to-speech technology and features an animated character 'Diya', is a free-to-use app first available in India, on Android. ""We've designed the app to work offline,"" Google said.",technology,"Google unveils Bolo app to teach kids to read English, Hindi. Google on Wednesday unveiled speech-based 'Bolo' app aimed at rural children, to teach them how to read in English and Hindi. The app, which uses Google's speech recognition and text-to-speech technology and features an animated character 'Diya', is a free-to-use app first available in India, on Android. ""We've designed the app to work offline,"" Google said.",google unveil bolo app teach kid read english hindi google wednesday unveil speech base bolo app aim rural child teach read english hindi app use google speech recognition text speech technology feature animate character diya free use app first available india android design app work offline google say,"(S
  (NP Google/NNP)
  (VP unveils/VBZ)
  (NP Bolo/NNP app/NN teach/NN kids/NNS)
  (VP read/VBP)
  (NP English/NNP)
  ,/,
  (NP Hindi./NNP Google/NNP Wednesday/NNP)
  (VP unveiled/VBD)
  (NP speech-based/JJ Bolo/NNP app/NN)
  (VP aimed/VBN)
  (NP rural/JJ children/NNS)
  ,/,
  (VP teach/VBP)
  (NP read/JJ English/NNP Hindi./NNP app/NN)
  ,/,
  (VP uses/VBZ)
  (NP
    Googles/NNP
    speech/NN
    recognition/NN
    text-to-speech/JJ
    technology/NN
    features/NNS)
  (VP animated/VBD)
  (NP character/NN Diya/NNP)
  ,/,
  (NP free-to-use/NN app/NN)
  first/RB
  (NP available/JJ India/NNP)
  ,/,
  (NP Android./NNP ""/NNP)
  (VP designed/VBD)
  (NP app/JJ work/NN offline/NN)
  ,/,
  (NP ""/NNP Google/NNP)
  (VP said/VBD)
  ./.)"
Samsung-owned Harman patents flying robotic speakers for VR,"Harman, the American subsidiary of the South Korean technology giant Samsung, has patented a flying speaker system for Virtual Reality (VR) environments. The company plans to achieve better representation of the distance, direction and movement of sounds of the VR environment and its elements using the device, the patent revealed. Samsung had acquired Harman for $8 billion in 2017. ",technology,"Samsung-owned Harman patents flying robotic speakers for VR. Harman, the American subsidiary of the South Korean technology giant Samsung, has patented a flying speaker system for Virtual Reality (VR) environments. The company plans to achieve better representation of the distance, direction and movement of sounds of the VR environment and its elements using the device, the patent revealed. Samsung had acquired Harman for $8 billion in 2017. ",samsung harman patent fly robotic speaker vr harman american subsidiary south korean technology giant samsung patent fly speaker system virtual reality vr environment company plan achieve good representation distance direction movement sound vr environment element use device patent reveal samsung acquire harman 8 billion 2017,"(S
  (NP Samsung-owned/JJ Harman/NNP patents/NNS)
  (VP flying/VBG)
  (NP robotic/JJ speakers/NNS VR./NNP Harman/NNP)
  ,/,
  (NP
    American/NNP
    subsidiary/NN
    South/NNP
    Korean/NNP
    technology/NN
    giant/NN
    Samsung/NNP)
  ,/,
  (VP patented/VBD flying/VBG)
  (NP speaker/NN system/NN Virtual/JJ Reality/NNP)
  (/(
  (NP VR/NNP)
  )/)
  (VP environments./VBP)
  (NP company/NN plans/NNS)
  (VP achieve/VBP)
  (NP better/JJR representation/NN distance/NN)
  ,/,
  (NP direction/NN movement/NN)
  (VP sounds/VBZ)
  (NP VR/NNP environment/NN elements/NNS)
  (VP using/VBG)
  (NP device/NN)
  ,/,
  (NP patent/NN revealed./NN Samsung/NNP)
  (VP acquired/VBD)
  (NP Harman/NNP $/$ 8/CD billion/CD 2017./CD))"
Android TV bug exposes private user pics under screensavers,"A bug on Google's Android TV platform exposed users' private images, which could be set as screensavers by random users under Ambient Mode of Google Home app. Multiple accounts were allegedly linked to one particular account. ""We've disabled the ability to remotely cast via Google Assistant or view photos from Google Photos on Android TV devices,"" Google said.",technology,"Android TV bug exposes private user pics under screensavers. A bug on Google's Android TV platform exposed users' private images, which could be set as screensavers by random users under Ambient Mode of Google Home app. Multiple accounts were allegedly linked to one particular account. ""We've disabled the ability to remotely cast via Google Assistant or view photos from Google Photos on Android TV devices,"" Google said.",android tv bug expose private user pic screensaver bug google android tv platform expose user private image could set screensaver random user ambient mode google home app multiple account allegedly link one particular account disable ability remotely cast via google assistant view photo google photo android tv device google say,"(S
  (NP Android/NNP TV/NN bug/NN)
  (VP exposes/VBZ)
  (NP private/JJ user/NN pics/NNS)
  (VP screensavers./VBP)
  (NP bug/NN Googles/NNP Android/NNP TV/NN platform/NN)
  (VP exposed/VBD)
  (NP users/NNS private/JJ images/NNS)
  ,/,
  (VP could/MD set/VB)
  (NP
    screensavers/NNS
    random/JJ
    users/NNS
    Ambient/NNP
    Mode/NNP
    Google/NNP
    Home/NNP
    app./NN
    Multiple/NNP)
  (VP accounts/VBZ allegedly/RB linked/VBN)
  (NP one/CD particular/JJ account./NN ""/NNP)
  (VP disabled/VBD)
  (NP ability/NN)
  remotely/RB
  (VP cast/VBD)
  (PP via/IN)
  (NP
    Google/NNP
    Assistant/NNP
    view/NN
    photos/NNS
    Google/NNP
    Photos/NNP
    Android/NNP
    TV/NN
    devices/NNS)
  ,/,
  (NP ""/NNP Google/NNP)
  (VP said/VBD)
  ./.)"
Facebook adds 'Tributes' section to memorial accounts of users,"Facebook is adding a dedicated 'Tributes' section to memorialised accounts of passed-away users to post stories, commemorate a birthday or share memories. The section, separate from 'timeline', will include posts made after the day it was memorialised. Some Facebook users who have designated 'legacy contacts' to manage their accounts after they die were alerted to the feature by a notification.",technology,"Facebook adds 'Tributes' section to memorial accounts of users. Facebook is adding a dedicated 'Tributes' section to memorialised accounts of passed-away users to post stories, commemorate a birthday or share memories. The section, separate from 'timeline', will include posts made after the day it was memorialised. Some Facebook users who have designated 'legacy contacts' to manage their accounts after they die were alerted to the feature by a notification.",facebook add tribute section memorial account user facebook add dedicated tribute section memorialised account pass away user post story commemorate birthday share memory section separate timeline include post make day memorialised facebook user designate legacy contact manage account die alert feature notification,"(S
  (NP Facebook/NNP)
  (VP adds/VBZ)
  (NP
    Tributes/NNP
    section/NN
    memorial/JJ
    accounts/NNS
    users./JJ
    Facebook/NNP)
  (VP adding/VBG dedicated/VBN)
  (NP Tributes/NNPS section/NN)
  (VP memorialised/VBD)
  (NP accounts/NNS passed-away/JJ users/NNS post/NN stories/NNS)
  ,/,
  (NP commemorate/NN birthday/NN share/NN memories./JJ section/NN)
  ,/,
  (NP separate/JJ timeline/NN)
  ,/,
  (VP include/VBP)
  (NP posts/NNS)
  (VP made/VBD)
  (NP day/NN)
  (VP memorialised./VB)
  (NP Facebook/NNP users/NNS)
  (VP designated/VBD)
  (NP legacy/NN contacts/NNS)
  (VP manage/VBP)
  (NP accounts/NNS)
  (VP die/VBP)
  (NP alerted/JJ feature/NN notification/NN)
  ./.)"
Most Indian users unaware of how to report abuse: Twitter,"Most Indian users aren't aware of how to report abuse or harassment they face on Twitter, Global Public Policy VP Colin Crowell said. ""Users might take a screenshot of abuse or harassment [and post it online]...but they don't report that,"" he said. ""Our team can only take action if the issue is reported to us,"" he added.",technology,"Most Indian users unaware of how to report abuse: Twitter. Most Indian users aren't aware of how to report abuse or harassment they face on Twitter, Global Public Policy VP Colin Crowell said. ""Users might take a screenshot of abuse or harassment [and post it online]...but they don't report that,"" he said. ""Our team can only take action if the issue is reported to us,"" he added.",indian user unaware report abuse twitter indian user not aware report abuse harassment face twitter global public policy vp colin crowell say user may take screenshot abuse harassment [ post online ] not report say team take action issue report us add,"(S
  (NP Indian/JJ users/NNS unaware/JJ report/NN abuse/NN)
  :/:
  (NP Twitter./NNP Indian/NNP users/NNS)
  not/RB
  (NP aware/JJ report/NN abuse/NN harassment/JJ face/NN Twitter/NNP)
  ,/,
  (NP Global/NNP Public/NNP Policy/NNP VP/NNP Colin/NNP Crowell/NNP)
  (VP said./VBZ)
  (NP ""/NNP Users/NNP)
  (VP might/MD take/VB)
  (NP screenshot/JJ abuse/NN harassment/NN)
  (VP [/VBZ)
  (NP post/NN online/NN ]/NN)
  .../:
  not/RB
  (VP report/VB)
  ,/,
  (NP ""/NNP said./NN ""/NNP team/NN)
  (VP take/VB)
  (NP action/NN issue/NN)
  (VP reported/VBD)
  (NP us/PRP)
  ,/,
  (VP ""/VBZ added/VBN)
  ./.)"
"Google discloses security flaw in macOS kernel, Apple works on fix","Google's security disclosure program named 'Project Zero' has exposed a 'high severity' security flaw in macOS kernel, which it had first disclosed to Apple in November last year. The flaw allows modification of a user-mounted filesystem image without notifying the virtual management system. Apple is intending to resolve the issue in a future release, researchers said.",technology,"Google discloses security flaw in macOS kernel, Apple works on fix. Google's security disclosure program named 'Project Zero' has exposed a 'high severity' security flaw in macOS kernel, which it had first disclosed to Apple in November last year. The flaw allows modification of a user-mounted filesystem image without notifying the virtual management system. Apple is intending to resolve the issue in a future release, researchers said.",google disclose security flaw macos kernel apple work fix google security disclosure program name project zero expose high severity security flaw macos kernel first disclose apple november last year flaw allow modification user mount filesystem image without notify virtual management system apple intend resolve issue future release researcher say,"(S
  (NP Google/NNP)
  (VP discloses/VBZ)
  (NP security/NN flaw/NN macOS/NN kernel/NN)
  ,/,
  (NP Apple/NNP)
  (VP works/VBZ)
  (NP fix./JJ Googles/NNP security/NN disclosure/NN program/NN)
  (VP named/VBN)
  (NP Project/NNP Zero/NNP)
  (VP exposed/VBD)
  (NP high/JJ severity/NN security/NN flaw/NN macOS/NN kernel/NN)
  ,/,
  first/RB
  (VP disclosed/VBN)
  (NP Apple/NNP November/NNP last/JJ year./NN flaw/NN)
  (VP allows/VBZ)
  (NP modification/NN user-mounted/JJ filesystem/NN image/NN)
  (PP without/IN)
  (VP notifying/VBG)
  (NP virtual/JJ management/NN system./NN Apple/NNP)
  (VP intending/VBG)
  (NP resolve/JJ issue/NN future/NN release/NN)
  ,/,
  (NP researchers/NNS)
  (VP said/VBD)
  ./.)"
Some apps still send user data to FB without consent: Report,"Some apps, including search service Yelp and language learning platform Duolingo, are still sending personal data without user consent to Facebook for ad tracking, as per a report. This comes after the social media platform faced criticism for paying and collecting data of teenagers in India and the US. Duolingo has reportedly agreed to suspend the practice.",technology,"Some apps still send user data to FB without consent: Report. Some apps, including search service Yelp and language learning platform Duolingo, are still sending personal data without user consent to Facebook for ad tracking, as per a report. This comes after the social media platform faced criticism for paying and collecting data of teenagers in India and the US. Duolingo has reportedly agreed to suspend the practice.",app still send user datum fb without consent report app include search service yelp language learn platform duolingo still send personal datum without user consent facebook ad tracking per report come social medium platform face criticism pay collect datum teenager india us duolingo reportedly agree suspend practice,"(S
  (NP apps/NN)
  still/RB
  (VP send/VB)
  (NP user/JJR data/NNS FB/NNP)
  (PP without/IN)
  (NP consent/NN)
  :/:
  (NP Report./NNP apps/NN)
  ,/,
  (VP including/VBG)
  (NP search/NN service/NN Yelp/NNP language/NN)
  (VP learning/VBG)
  (NP platform/NN Duolingo/NNP)
  ,/,
  still/RB
  (VP sending/VBG)
  (NP personal/JJ data/NNS)
  (PP without/IN)
  (NP user/JJ consent/NN Facebook/NNP ad/NN tracking/NN)
  ,/,
  (PP per/IN)
  (NP report./NN)
  (VP comes/VBZ)
  (NP social/JJ media/NNS platform/NN)
  (VP faced/VBD)
  (NP criticism/NN paying/VBG)
  (VP collecting/VBG)
  (NP data/NNS teenagers/NNS India/NNP US./NNP Duolingo/NNP)
  reportedly/RB
  (VP agreed/VBD)
  (NP suspend/JJ practice/NN)
  ./.)"
Twitter was too aggressive in banning certain accounts: CEO ,"Twitter CEO Jack Dorsey in a recent interview said the platform admits it was ""probably too aggressive"" in banning certain accounts. The suspensions relate to hashtag ""learn to code"" that was being used as a ""co-ordinated harassment campaign"" to target certain journalists, as per Twitter. Dorsey explained that lack of context concerning the tweets may have led to the bans.",technology,"Twitter was too aggressive in banning certain accounts: CEO . Twitter CEO Jack Dorsey in a recent interview said the platform admits it was ""probably too aggressive"" in banning certain accounts. The suspensions relate to hashtag ""learn to code"" that was being used as a ""co-ordinated harassment campaign"" to target certain journalists, as per Twitter. Dorsey explained that lack of context concerning the tweets may have led to the bans.",twitter aggressive ban certain account ceo twitter ceo jack dorsey recent interview say platform admit probably aggressive ban certain account suspension relate hashtag learn code use co ordinate harassment campaign target certain journalist per twitter dorsey explain lack context concern tweet may lead ban,"(S
  (NP Twitter/NNP aggressive/JJ banning/NN certain/JJ accounts/NNS)
  :/:
  (NP CEO/NN)
  ./.
  (NP Twitter/NNP CEO/NNP Jack/NNP Dorsey/NNP recent/JJ interview/NN)
  (VP said/VBD)
  (NP platform/NN admits/NNS)
  (VP ""/VBP probably/RB)
  (NP aggressive/JJ ""/NN)
  (VP banning/VBG)
  (NP certain/JJ accounts./JJ suspensions/NNS)
  (VP relate/VBP)
  (NP hashtag/NN ""/NN)
  (VP learn/VBP)
  (NP code/NN ""/NN)
  (VP used/VBN)
  (NP
    ""/JJ
    co-ordinated/JJ
    harassment/NN
    campaign/NN
    ""/NNP
    target/NN
    certain/JJ
    journalists/NNS)
  ,/,
  (PP per/IN)
  (NP Twitter./NNP Dorsey/NNP)
  (VP explained/VBD)
  lack/RP
  (NP context/JJ concerning/VBG tweets/NNS)
  (VP may/MD led/VB)
  (NP bans/NNS)
  ./.)"
Facebook sees its future in private chats: Mark Zuckerberg,"Facebook CEO Mark Zuckerberg has said the future of communications will shift more to private, encrypted chats and Facebook aims to help bring this change. ""I believe a privacy-focused communications platform will become even more important than today's open platforms,"" he said. ""Working towards implementing end-to-end encryption for all private communications is the right thing to do,"" he added.",technology,"Facebook sees its future in private chats: Mark Zuckerberg. Facebook CEO Mark Zuckerberg has said the future of communications will shift more to private, encrypted chats and Facebook aims to help bring this change. ""I believe a privacy-focused communications platform will become even more important than today's open platforms,"" he said. ""Working towards implementing end-to-end encryption for all private communications is the right thing to do,"" he added.",facebook see future private chat mark zuckerberg facebook ceo mark zuckerberg say future communication shift private encrypted chat facebook aim help bring change believe privacy focus communication platform become even important today open platform say work towards implement end end encryption private communication right thing add,"(S
  (NP Facebook/NNP)
  (VP sees/VBZ)
  (NP future/JJ private/JJ chats/NNS)
  :/:
  (NP
    Mark/NNP
    Zuckerberg./NNP
    Facebook/NNP
    CEO/NNP
    Mark/NNP
    Zuckerberg/NNP)
  (VP said/VBD)
  (NP future/JJ communications/NNS shift/NN private/JJ)
  ,/,
  (NP encrypted/JJ chats/NNS Facebook/NNP aims/NNS)
  (VP help/VBP bring/VB)
  (NP change./JJ ""/NNP)
  (VP believe/VBP)
  (NP privacy-focused/JJ communications/NNS)
  (VP platform/VBP become/VB)
  even/RB
  (NP important/JJ todays/NNS open/JJ platforms/NNS)
  ,/,
  (NP ""/NNP)
  (VP said./VBZ)
  (NP ""/JJ Working/NNP towards/NNS)
  (VP implementing/VBG)
  (NP
    end-to-end/JJ
    encryption/NN
    private/JJ
    communications/NNS
    right/JJ
    thing/NN)
  ,/,
  (NP ""/NNP)
  (VP added/VBD)
  ./.)"
Alphabet's security startup Chronicle debuts 1st product,"Google-parent Alphabet's cybersecurity startup Chronicle has launched its first commercial cybersecurity product 'Backstory'. It makes Alphabet’s storage, indexing and search abilities available to other firms to trace the history of a malicious attack and detect potential threats. Chronicle plans to charge firms based on their number of employees and not the amount of information they store.",technology,"Alphabet's security startup Chronicle debuts 1st product. Google-parent Alphabet's cybersecurity startup Chronicle has launched its first commercial cybersecurity product 'Backstory'. It makes Alphabet’s storage, indexing and search abilities available to other firms to trace the history of a malicious attack and detect potential threats. Chronicle plans to charge firms based on their number of employees and not the amount of information they store.",alphabet security startup chronicle debut 1st product google parent alphabet cybersecurity startup chronicle launch first commercial cybersecurity product backstory make alphabet storage indexing search ability available firm trace history malicious attack detect potential threat chronicle plan charge firm base number employee not amount information store,"(S
  (NP Alphabets/NNS security/NN)
  (VP startup/VBP)
  (NP Chronicle/NNP)
  (VP debuts/VBZ)
  (NP
    1st/CD
    product./JJ
    Google-parent/JJ
    Alphabets/NNS
    cybersecurity/NN)
  (VP startup/VBP)
  (NP Chronicle/NNP)
  (VP launched/VBD first/RB)
  (NP commercial/JJ cybersecurity/NN product/NN Backstory./NNP)
  (VP makes/VBZ)
  (NP Alphabets/NNP storage/NN)
  ,/,
  (VP indexing/VBG)
  (NP search/NN abilities/NNS available/JJ firms/NNS)
  (VP trace/VBP)
  (NP
    history/NN
    malicious/JJ
    attack/NN
    detect/JJ
    potential/JJ
    threats./NN
    Chronicle/NNP)
  (VP plans/VBZ)
  (NP charge/NN firms/NNS)
  (VP based/VBN)
  (NP number/NN employees/NNS)
  not/RB
  (VP amount/VB)
  (NP information/NN store/NN)
  ./.)"
"It took 110 years of Test cricket for a player to reach 10,000 runs","Cricket legend Sunil Gavaskar became the first-ever batsman to reach 10,000 runs in Test cricket on March 7, 1987, almost 110 years after the first-ever Test. Gavaskar achieved the feat during his 63-run knock in the first innings against Pakistan in Ahmedabad. As many as 13 batsmen have scored over 10,000 runs in Test cricket till now. ",sports,"It took 110 years of Test cricket for a player to reach 10,000 runs. Cricket legend Sunil Gavaskar became the first-ever batsman to reach 10,000 runs in Test cricket on March 7, 1987, almost 110 years after the first-ever Test. Gavaskar achieved the feat during his 63-run knock in the first innings against Pakistan in Ahmedabad. As many as 13 batsmen have scored over 10,000 runs in Test cricket till now. ",take 110 year test cricket player reach 10000 run cricket legend sunil gavaskar become first ever batsman reach 10000 run test cricket march 7 1987 almost 110 year first ever test gavaskar achieve feat 63run knock first innings pakistan ahmedabad many 13 batsman score 10000 run test cricket till,"(S
  took/VBD
  (NP 110/CD years/NNS Test/NNP cricket/NN player/NN)
  (VP reach/VBP)
  (NP
    10,000/CD
    runs./NN
    Cricket/NNP
    legend/NN
    Sunil/NNP
    Gavaskar/NNP)
  (VP became/VBD)
  (NP first-ever/JJ batsman/NN reach/NN 10,000/CD)
  (VP runs/VBZ)
  (NP Test/NNP cricket/NN March/NNP 7/CD)
  ,/,
  (NP 1987/CD)
  ,/,
  almost/RB
  (NP 110/CD years/NNS first-ever/JJ Test./NNP Gavaskar/NNP)
  (VP achieved/VBD)
  (NP
    feat/JJ
    63-run/JJ
    knock/NN
    first/JJ
    innings/NNS
    Pakistan/NNP
    Ahmedabad./NNP
    many/JJ
    13/CD
    batsmen/NNS)
  (VP scored/VBD)
  (NP 10,000/CD runs/NNS Test/NNP cricket/NN till/NN now./NN))"
